insertId,labels.execution_id,labels.instance_id,logName,operation.first,operation.id,operation.last,operation.producer,protoPayload.authenticationInfo.principalEmail,protoPayload.authenticationInfo.principalSubject,protoPayload.authorizationInfo.granted,protoPayload.authorizationInfo.permission,protoPayload.authorizationInfo.resource,protoPayload.authorizationInfo.resourceAttributes,protoPayload.methodName,protoPayload.request.@type,protoPayload.request.function.dockerRegistry,protoPayload.request.function.entryPoint,protoPayload.request.function.httpsTrigger.securityLevel,"protoPayload.request.function.labels.""deployment-tool""","protoPayload.request.function.labels.""firebase-functions-hash""",protoPayload.request.function.name,protoPayload.request.function.runtime,protoPayload.request.function.sourceUploadUrl,protoPayload.request.location,protoPayload.request.policy.bindings,protoPayload.request.policy.etag,protoPayload.request.resource,protoPayload.request.updateMask,protoPayload.requestMetadata.callerIp,protoPayload.requestMetadata.callerSuppliedUserAgent,protoPayload.requestMetadata.destinationAttributes,protoPayload.requestMetadata.requestAttributes.auth,protoPayload.requestMetadata.requestAttributes.time,protoPayload.resourceLocation.currentLocations,protoPayload.resourceName,protoPayload.response.@type,protoPayload.response.bindings,protoPayload.response.etag,protoPayload.serviceName,protoPayload.status,receiveLocation,receiveTimestamp,receivedLocation,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
7s5opvec76rz,dec2kgxkp2v9,,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-17T15:50:09.280353690Z,,v1preferresttrue,blidd-experiments,us-central1,cloud_function,DEBUG,"Function execution took 2516 ms, finished with status: 'crash'",2023-02-17T15:50:09.270449452Z,projects/blidd-experiments/traces/53a2fbd82cb7b4de6e338ed87d293544
11704qyea4dqw,dec2kgxkp2v9,,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-17T15:50:06.949470276Z,,v1preferresttrue,blidd-experiments,us-central1,cloud_function,DEBUG,Function execution started,2023-02-17T15:50:06.753831561Z,projects/blidd-experiments/traces/53a2fbd82cb7b4de6e338ed87d293544
63efa22d000b0eea198f20dc,5fn1i9d8rqpl,00c61b117c06cde33f330ea4db090f2031320dfd5ff7c5709f758c0a929a5bf6dd8c7ec5f5b7e966ed9b8e862e7cbb509c2b2ecc1fc606457a6e,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-17T15:50:05.848227141Z,,v1preferresttrue,blidd-experiments,us-central1,cloud_function,ERROR,"Error: Process exited with code 1
    at process.<anonymous> (/layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/invoker.js:92:22)
    at process.emit (node:events:513:28)
    at process.emit (node:domain:489:12)
    at process.exit (node:internal/process/per_thread:190:15)
    at /workspace/index.js:43:11",2023-02-17T15:50:05.724714Z,projects/blidd-experiments/traces/f5bf7922e2d642e989c3b40c9c41f4c6
epobuqeej1ww,5fn1i9d8rqpl,,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-17T15:50:05.848227141Z,,v1preferresttrue,blidd-experiments,us-central1,cloud_function,DEBUG,"Function execution took 1496 ms, finished with status: 'crash'",2023-02-17T15:50:05.609791593Z,projects/blidd-experiments/traces/f5bf7922e2d642e989c3b40c9c41f4c6
1nnuzf1edrwxy,5fn1i9d8rqpl,,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-17T15:50:04.180712351Z,,v1preferresttrue,blidd-experiments,us-central1,cloud_function,DEBUG,Function execution started,2023-02-17T15:50:04.113191138Z,projects/blidd-experiments/traces/f5bf7922e2d642e989c3b40c9c41f4c6
63efa22b0000e29e3af56f57,wbpfkrz3t3c6,00c61b117cbe456898041addabb96026e8f1bacf20def976c274a6bdeda431f8350c5aae56a26a2843112699a8d219c8e67098216f90479e611a,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-17T15:50:03.286688625Z,,v1preferresttrue,blidd-experiments,us-central1,cloud_function,ERROR,"Error: Process exited with code 1
    at process.<anonymous> (/layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/invoker.js:92:22)
    at process.emit (node:events:513:28)
    at process.emit (node:domain:489:12)
    at process.exit (node:internal/process/per_thread:190:15)
    at /workspace/index.js:43:11",2023-02-17T15:50:03.058014Z,projects/blidd-experiments/traces/4c6a4235f9c71a36822966f76c6b288d
1pbnypyeb79vn,wbpfkrz3t3c6,,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-17T15:50:02.956117634Z,,v1preferresttrue,blidd-experiments,us-central1,cloud_function,DEBUG,"Function execution took 2484 ms, finished with status: 'crash'",2023-02-17T15:50:02.859630665Z,projects/blidd-experiments/traces/4c6a4235f9c71a36822966f76c6b288d
1fw4284eanwxx,wbpfkrz3t3c6,,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-17T15:50:00.623650803Z,,v1preferresttrue,blidd-experiments,us-central1,cloud_function,DEBUG,Function execution started,2023-02-17T15:50:00.374870890Z,projects/blidd-experiments/traces/4c6a4235f9c71a36822966f76c6b288d
63efa227000497906bd921f8,72pg2xjveuc7,00c61b117cd368372960f14d78a17f41dea6b8f09f9cd5bb6e823b6519f5fa91fd314922c9ebdf8c3b6e462add98248fc0b427b6d586c89a40b4,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-17T15:49:59.524021524Z,,v1preferresttrue,blidd-experiments,us-central1,cloud_function,ERROR,"Error: Process exited with code 1
    at process.<anonymous> (/layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/invoker.js:92:22)
    at process.emit (node:events:513:28)
    at process.emit (node:domain:489:12)
    at process.exit (node:internal/process/per_thread:190:15)
    at /workspace/index.js:43:11",2023-02-17T15:49:59.300944Z,projects/blidd-experiments/traces/36b09bdbfcc5c36d80996aa606ebd8d3
ilu7mdec5ae6,72pg2xjveuc7,,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-17T15:49:59.524021524Z,,v1preferresttrue,blidd-experiments,us-central1,cloud_function,DEBUG,"Function execution took 1426 ms, finished with status: 'crash'",2023-02-17T15:49:59.213776025Z,projects/blidd-experiments/traces/36b09bdbfcc5c36d80996aa606ebd8d3
